0,order_id,chinese_zodiac,zodiac
0,100000081567592448,狗,处女座
0,100000467565182976,牛,双子座
0,100000530945323008,羊,射手座
0,100000556765458432,鼠,摩羯座
0,100000598171623424,虎,水瓶座
0,100000839541235712,牛,天秤座
0,100001014112362496,鸡,天秤座
0,100001026275844096,羊,天秤座
0,100001059033362432,牛,处女座
0,100001069510721536,猴,狮子座
0,100001236284649472,鸡,双子座
0,100001301317320704,牛,处女座
0,100002022041362432,鼠,金牛座
0,100002027296825344,猴,白羊座
0,100002132565467136,鸡,狮子座
0,100002202291568640,鼠,双鱼座
0,100002254749728768,羊,处女座
0,100002266212761600,鼠,双鱼座
0,100002319505600512,虎,金牛座
0,100002338002477056,虎,射手座
0,100002474808082432,羊,天蝎座
0,100002512871399424,鸡,巨蟹座
0,100002683256614912,羊,巨蟹座
0,100002946805694464,龙,射手座
0,100002976614625280,牛,处女座
0,100003084185939968,狗,金牛座
0,100003246492917760,兔,双鱼座
0,100003543801966592,狗,射手座
0,100003608901754880,猪,双子座
0,100003624307433472,马,摩羯座
0,100003789156155392,兔,天蝎座
0,100004058967355392,狗,巨蟹座
0,100004064327671808,鸡,处女座
0,100004079938871296,猪,天蝎座
0,100004119340167168,虎,水瓶座
0,100004199426203648,马,水瓶座
0,100004424442216448,鼠,双子座
0,100004579560161280,龙,双鱼座
0,100004637122797568,猴,天蝎座
0,100004678021459968,牛,双鱼座
0,100004835349803008,牛,天秤座
0,100005556921085952,羊,射手座
0,100005607173042176,牛,摩羯座
0,100005740803555328,猪,狮子座
0,100006064901627904,虎,天秤座
0,100006540946743296,猴,摩羯座
0,100006544247652352,兔,巨蟹座
0,100006641802969088,马,双鱼座
0,100006787890589696,牛,天蝎座
0,100007169937154048,兔,处女座
0,100007490176458752,狗,双鱼座
0,100007529867157504,蛇,天蝎座
0,100007579770986496,鸡,白羊座
0,100007947099742208,蛇,摩羯座
0,100008268832223232,猪,双子座
0,100008297877778432,猴,双鱼座
0,100008378353889280,羊,射手座
0,100008509895639040,蛇,天蝎座
0,100008595392331776,鸡,金牛座
0,100008765282615296,猪,巨蟹座
0,100008973819215872,羊,射手座
0,100009136122015744,鼠,双子座
0,100009170997649408,牛,双子座
0,100009282859737088,猪,射手座
0,100009512514658304,鸡,金牛座
0,100009612490080256,马,白羊座
0,100009613597384704,鸡,处女座
0,100009686859284480,猪,狮子座
0,100009728793935872,猪,处女座
0,100009878996164608,羊,水瓶座
0,100009888974413824,兔,双鱼座
0,100009893017714688,鸡,金牛座
0,100009992028463104,狗,摩羯座
0,100010160308125696,羊,双鱼座
0,100010165743955968,猪,巨蟹座
0,100010260799463424,牛,巨蟹座
0,100010289907937280,鸡,水瓶座
0,100010387920429056,鸡,处女座
0,100010438298214400,马,双子座
0,100010513422393344,兔,巨蟹座
0,100010590891192320,马,处女座
0,100010808122580992,猪,摩羯座
0,100010809145995264,猴,狮子座
0,100010919737196544,猪,双鱼座
0,100011221844533248,蛇,金牛座
0,100011536534773760,虎,射手座
0,100011558387089408,牛,天蝎座
0,100011633720995840,狗,摩羯座
0,100011760846151680,龙,双鱼座
0,100011811936960512,蛇,射手座
0,100011834313572352,蛇,天秤座
0,100011942518239232,猴,狮子座
0,100011981038723072,蛇,白羊座
0,100012081823657984,马,天秤座
0,100012264754028544,猪,白羊座
0,100012491779112960,马,双子座
0,100012494350229504,蛇,天秤座
0,100012634700034048,鸡,处女座
0,100012679704915968,兔,双鱼座
0,100012715201306624,羊,天蝎座
0,100012775490224128,牛,天蝎座
0,100012887612366848,鸡,天秤座
0,100012943501467648,狗,天秤座
0,100013388940750848,虎,狮子座
0,100013434138566656,牛,巨蟹座
0,100013471845359616,鸡,摩羯座
0,100013473875406848,牛,摩羯座
0,100013517970112512,龙,摩羯座
0,100013823382564864,牛,射手座
0,100013923190222848,蛇,处女座
0,100014069672091648,狗,双鱼座
0,100014351227322368,虎,巨蟹座
0,100014582803243008,猴,白羊座
0,100014705889292288,猪,射手座
0,100014754652270592,猪,双鱼座
0,100014798067507200,兔,摩羯座
0,100014817612963840,猴,天秤座
0,100015085377335296,猴,双子座
0,100015094197952512,牛,狮子座
0,100015096798425088,龙,狮子座
0,100015150716198912,鼠,水瓶座
